yield,base_dipole,base_homo_energy,ligand_dipole_MING,ligand_dipole_MAXG,ligand_dipole_STDEV,ligand_homo_energy_MING,ligand_homo_energy_MAXG,ligand_homo_energy_STDEV,ligand_lumo_energy_MING,ligand_lumo_energy_STDEV,ligand_atom1_NMR_shift_MING,ligand_atom1_NMR_shift_MAXG,ligand_atom1_NMR_shift_STDEV,ligand_atom1_NMR_anisotropy_MING,ligand_atom1_NMR_anisotropy_MAXG,ligand_atom1_NMR_anisotropy_STDEV,ligand_atom2_NMR_shift_MING,ligand_atom2_NMR_shift_STDEV,ligand_atom2_NMR_anisotropy_MING,ligand_atom3_NMR_shift_MING,ligand_atom3_NMR_shift_STDEV,ligand_atom3_NMR_anisotropy_MING,ligand_atom4_NMR_shift_MING,ligand_atom4_NMR_anisotropy_MING,ligand_atom4_NMR_anisotropy_STDEV,ligand_atom1_%VBur_MING,ligand_atom2_%VBur_MING,ligand_atom2_%VBur_STDEV,ligand_atom3_%VBur_MING,ligand_atom3_%VBur_STDEV,ligand_atom4_%VBur_MING,ligand_atom4_%VBur_STDEV,ligand_c_min_%VBur_MING,ligand_c_min_%VBur_STDEV,ligand_c_min+1_%VBur_MING,ligand_c_min+1_%VBur_MAXG,ligand_c_min+1_%VBur_STDEV,ligand_c_max_%VBur_MING,ligand_c_max-1_%VBur_MING,ligand_c_max-1_%VBur_STDEV,solvent_homo_energy
5.47,7.1686,-0.19743,3.8245,2.6753,0.4345836520384166,-0.19126,-0.1839,0.0040939076687194,-0.01526,0.0031844190619176,348.0845,338.7551,16.217524241433285,52.0536,47.8768,19.23902485195502,60.148,2.262744571974486,148.3333,150.3153,3.861431906936177,24.9874,156.7629,14.51,3.88289496852787,0.8408430885302834,0.8432382264004071,0.0154152017497205,0.8204544774108559,0.020549549864377,0.8381784976497709,0.0165083546647066,0.68590760755666,0.0096491573647638,0.7181521511331995,0.6548905721385586,0.041846017276907,0.8408430885302834,0.7638394060058081,0.0133268038159292,-0.2338
5.22,7.1686,-0.19743,3.8245,2.6753,0.4345836520384166,-0.19126,-0.1839,0.0040939076687194,-0.01526,0.0031844190619176,348.0845,338.7551,16.217524241433285,52.0536,47.8768,19.23902485195502,60.148,2.262744571974486,148.3333,150.3153,3.861431906936177,24.9874,156.7629,14.51,3.88289496852787,0.8408430885302834,0.8432382264004071,0.0154152017497205,0.8204544774108559,0.020549549864377,0.8381784976497709,0.0165083546647066,0.68590760755666,0.0096491573647638,0.7181521511331995,0.6548905721385586,0.041846017276907,0.8408430885302834,0.7638394060058081,0.0133268038159292,-0.2338
5.03,7.1686,-0.19743,3.8245,2.6753,0.4345836520384166,-0.19126,-0.1839,0.0040939076687194,-0.01526,0.0031844190619176,348.0845,338.7551,16.217524241433285,52.0536,47.8768,19.23902485195502,60.148,2.262744571974486,148.3333,150.3153,3.861431906936177,24.9874,156.7629,14.51,3.88289496852787,0.8408430885302834,0.8432382264004071,0.0154152017497205,0.8204544774108559,0.020549549864377,0.8381784976497709,0.0165083546647066,0.68590760755666,0.0096491573647638,0.7181521511331995,0.6548905721385586,0.041846017276907,0.8408430885302834,0.7638394060058081,0.0133268038159292,-0.2338
3.6,7.1686,-0.19743,3.8245,2.6753,0.4345836520384166,-0.19126,-0.1839,0.0040939076687194,-0.01526,0.0031844190619176,348.0845,338.7551,16.217524241433285,52.0536,47.8768,19.23902485195502,60.148,2.262744571974486,148.3333,150.3153,3.861431906936177,24.9874,156.7629,14.51,3.88289496852787,0.8408430885302834,0.8432382264004071,0.0154152017497205,0.8204544774108559,0.020549549864377,0.8381784976497709,0.0165083546647066,0.68590760755666,0.0096491573647638,0.7181521511331995,0.6548905721385586,0.041846017276907,0.8408430885302834,0.7638394060058081,0.0133268038159292,-0.2338
2.41,7.1686,-0.19743,3.8245,2.6753,0.4345836520384166,-0.19126,-0.1839,0.0040939076687194,-0.01526,0.0031844190619176,348.0845,338.7551,16.217524241433285,52.0536,47.8768,19.23902485195502,60.148,2.262744571974486,148.3333,150.3153,3.861431906936177,24.9874,156.7629,14.51,3.88289496852787,0.8408430885302834,0.8432382264004071,0.0154152017497205,0.8204544774108559,0.020549549864377,0.8381784976497709,0.0165083546647066,0.68590760755666,0.0096491573647638,0.7181521511331995,0.6548905721385586,0.041846017276907,0.8408430885302834,0.7638394060058081,0.0133268038159292,-0.2338
3.14,7.1686,-0.19743,3.8245,2.6753,0.4345836520384166,-0.19126,-0.1839,0.0040939076687194,-0.01526,0.0031844190619176,348.0845,338.7551,16.217524241433285,52.0536,47.8768,19.23902485195502,60.148,2.262744571974486,148.3333,150.3153,3.861431906936177,24.9874,156.7629,14.51,3.88289496852787,0.8408430885302834,0.8432382264004071,0.0154152017497205,0.8204544774108559,0.020549549864377,0.8381784976497709,0.0165083546647066,0.68590760755666,0.0096491573647638,0.7181521511331995,0.6548905721385586,0.041846017276907,0.8408430885302834,0.7638394060058081,0.0133268038159292,-0.2338
5.75,7.1686,-0.19743,3.8245,2.6753,0.4345836520384166,-0.19126,-0.1839,0.0040939076687194,-0.01526,0.0031844190619176,348.0845,338.7551,16.217524241433285,52.0536,47.8768,19.23902485195502,60.148,2.262744571974486,148.3333,150.3153,3.861431906936177,24.9874,156.7629,14.51,3.88289496852787,0.8408430885302834,0.8432382264004071,0.0154152017497205,0.8204544774108559,0.020549549864377,0.8381784976497709,0.0165083546647066,0.68590760755666,0.0096491573647638,0.7181521511331995,0.6548905721385586,0.041846017276907,0.8408430885302834,0.7638394060058081,0.0133268038159292,-0.2338
5.49,7.1686,-0.19743,3.8245,2.6753,0.4345836520384166,-0.19126,-0.1839,0.0040939076687194,-0.01526,0.0031844190619176,348.0845,338.7551,16.217524241433285,52.0536,47.8768,19.23902485195502,60.148,2.262744571974486,148.3333,150.3153,3.861431906936177,24.9874,156.7629,14.51,3.88289496852787,0.8408430885302834,0.8432382264004071,0.0154152017497205,0.8204544774108559,0.020549549864377,0.8381784976497709,0.0165083546647066,0.68590760755666,0.0096491573647638,0.7181521511331995,0.6548905721385586,0.041846017276907,0.8408430885302834,0.7638394060058081,0.0133268038159292,-0.2338
5.95,7.1686,-0.19743,3.8245,2.6753,0.4345836520384166,-0.19126,-0.1839,0.0040939076687194,-0.01526,0.0031844190619176,348.0845,338.7551,16.217524241433285,52.0536,47.8768,19.23902485195502,60.148,2.262744571974486,148.3333,150.3153,3.861431906936177,24.9874,156.7629,14.51,3.88289496852787,0.8408430885302834,0.8432382264004071,0.0154152017497205,0.8204544774108559,0.020549549864377,0.8381784976497709,0.0165083546647066,0.68590760755666,0.0096491573647638,0.7181521511331995,0.6548905721385586,0.041846017276907,0.8408430885302834,0.7638394060058081,0.0133268038159292,-0.2338
0.07,7.7731,-0.2019,3.8245,2.6753,0.4345836520384166,-0.19126,-0.1839,0.0040939076687194,-0.01526,0.0031844190619176,348.0845,338.7551,16.217524241433285,52.0536,47.8768,19.23902485195502,60.148,2.262744571974486,148.3333,150.3153,3.861431906936177,24.9874,156.7629,14.51,3.88289496852787,0.8408430885302834,0.8432382264004071,0.0154152017497205,0.8204544774108559,0.020549549864377,0.8381784976497709,0.0165083546647066,0.68590760755666,0.0096491573647638,0.7181521511331995,0.6548905721385586,0.041846017276907,0.8408430885302834,0.7638394060058081,0.0133268038159292,-0.2338
