yield,base_dipole,base_homo_energy,_dipole_MINGligand,ligand_dipole_MAXG,ligand_dipole_STDEV,ligand_homo_energy_MING,ligand_homo_energy_MAXG,ligand_homo_energy_STDEV,ligand_lumo_energy_MING,ligand_lumo_energy_STDEV,ligand_atom1_NMR_shift_MING,ligand_atom1_NMR_shift_MAXG,ligand_atom1_NMR_shift_STDEV,ligand_atom1_NMR_anisotropy_MING,ligand_atom1_NMR_anisotropy_MAXG,ligand_atom1_NMR_anisotropy_STDEV,ligand_atom2_NMR_shift_MING,ligand_atom2_NMR_shift_STDEV,ligand_atom2_NMR_anisotropy_MING,ligand_atom3_NMR_shift_MING,ligand_atom3_NMR_shift_STDEV,ligand_atom3_NMR_anisotropy_MING,ligand_atom4_NMR_shift_MING,ligand_atom4_NMR_anisotropy_MING,ligand_atom4_NMR_anisotropy_STDEV,ligand_atom1_%VBur_MING,ligand_atom2_%VBur_MING,ligand_atom2_%VBur_STDEV,ligand_atom3_%VBur_MING,ligand_atom3_%VBur_STDEV,ligand_atom4_%VBur_MING,ligand_atom4_%VBur_STDEV,ligand_c_min_%VBur_MING,ligand_c_min_%VBur_STDEV,ligand_c_min+1_%VBur_MING,ligand_c_min+1_%VBur_MAXG,ligand_c_min+1_%VBur_STDEV,ligand_c_max_%VBur_MING,ligand_c_max-1_%VBur_MING,ligand_c_max-1_%VBur_STDEV,solvent_homo_energy
58.48,7.7731,-0.2019,3.8245,2.6753,0.4345836520384166,-0.19126,-0.1839,0.0040939076687194,-0.01526,0.0031844190619176,348.0845,338.7551,16.217524241433285,52.0536,47.8768,19.23902485195502,60.148,2.262744571974486,148.3333,150.3153,3.861431906936177,24.9874,156.7629,14.51,3.88289496852787,0.8408430885302834,0.8432382264004071,0.0154152017497205,0.8204544774108559,0.020549549864377,0.8381784976497709,0.0165083546647066,0.68590760755666,0.0096491573647638,0.7181521511331995,0.6548905721385586,0.041846017276907,0.8408430885302834,0.7638394060058081,0.0133268038159292,-0.3186
64.48,7.7731,-0.2019,2.6339,2.77,0.3593056835051934,-0.18921,-0.19511,0.0033466486434726,-0.00519,0.0030321289650353,395.3231,367.3897,10.618636713061743,61.613,31.3355,9.89205504597271,80.1552,4.826754761246569,117.375,152.4507,2.0390792159549327,23.3663,152.0309,20.6458,3.139982759389623,0.8468309332055926,0.817879704200473,0.0077468120071681,0.8022214903745396,0.0084195778697422,0.8134187599173678,0.0127815815126051,0.7918625190862548,0.0275290715118672,0.7083320858656926,0.6896500104787282,0.0213752084938292,0.8468309332055926,0.7324630999071884,0.021882338921431,-0.3186
58.95,7.7731,-0.2019,3.8245,2.6753,0.4345836520384166,-0.19126,-0.1839,0.0040939076687194,-0.01526,0.0031844190619176,348.0845,338.7551,16.217524241433285,52.0536,47.8768,19.23902485195502,60.148,2.262744571974486,148.3333,150.3153,3.861431906936177,24.9874,156.7629,14.51,3.88289496852787,0.8408430885302834,0.8432382264004071,0.0154152017497205,0.8204544774108559,0.020549549864377,0.8381784976497709,0.0165083546647066,0.68590760755666,0.0096491573647638,0.7181521511331995,0.6548905721385586,0.041846017276907,0.8408430885302834,0.7638394060058081,0.0133268038159292,-0.3186
44.96,11.0112,-0.17387,1.413,1.413,0.0,-0.21146,-0.21146,0.0,-0.01885,0.0,361.4428,361.4428,0.0,39.667,39.667,0.0,56.1606,0.0,179.4228,56.1046,0.0,179.4567,56.1021,179.4687,0.0,0.7028831472111613,0.7320439507799167,0.0,0.7324331606838118,0.0,0.7329720667045896,0.0,0.7320439507799167,0.0,0.7324331606838118,0.7324331606838118,0.0,0.7028831472111613,0.5225891440376037,0.0,-0.2338
40.43,11.0112,-0.17387,2.6339,2.77,0.3593056835051934,-0.18921,-0.19511,0.0033466486434726,-0.00519,0.0030321289650353,395.3231,367.3897,10.618636713061743,61.613,31.3355,9.89205504597271,80.1552,4.826754761246569,117.375,152.4507,2.0390792159549327,23.3663,152.0309,20.6458,3.139982759389623,0.8468309332055926,0.817879704200473,0.0077468120071681,0.8022214903745396,0.0084195778697422,0.8134187599173678,0.0127815815126051,0.7918625190862548,0.0275290715118672,0.7083320858656926,0.6896500104787282,0.0213752084938292,0.8468309332055926,0.7324630999071884,0.021882338921431,-0.2338
40.76,7.7731,-0.2019,3.8245,2.6753,0.4345836520384166,-0.19126,-0.1839,0.0040939076687194,-0.01526,0.0031844190619176,348.0845,338.7551,16.217524241433285,52.0536,47.8768,19.23902485195502,60.148,2.262744571974486,148.3333,150.3153,3.861431906936177,24.9874,156.7629,14.51,3.88289496852787,0.8408430885302834,0.8432382264004071,0.0154152017497205,0.8204544774108559,0.020549549864377,0.8381784976497709,0.0165083546647066,0.68590760755666,0.0096491573647638,0.7181521511331995,0.6548905721385586,0.041846017276907,0.8408430885302834,0.7638394060058081,0.0133268038159292,-0.22568
53.61,10.1478,-0.16646,1.5585,2.907,0.5227282460687342,-0.21471,-0.20896,0.0025049946297822,-0.01375,0.0017436163841963,455.7715,433.0188,9.259186830633208,30.8493,38.1079,4.788784023289659,44.1499,0.6233884925683728,85.3105,44.516,0.5453103989821723,90.9055,44.5165,90.9061,1.8914004817544456,0.6508787162061016,0.6750097302475973,0.0062560274078896,0.6712972665489056,0.0069748538525054,0.6711775096553995,0.0071035031411299,0.5886350708062633,0.0282908571877105,0.5886350708062633,0.5191161941259244,0.0383551063442057,0.6508787162061016,0.4547169246429747,0.0074964292052734,-0.26727
51.37,7.1686,-0.19743,1.2279,1.1571,0.0405897770380671,-0.22075,-0.21336,0.0042723997940267,-0.01969,0.0024912697565699,381.1196,372.0266,5.24929809045935,154.698,157.1623,1.4285861037519996,57.3221,0.3520251695546785,174.2696,112.5804,0.3323081200733228,59.2517,111.8835,52.8706,2.0790660539450574,0.7568336277356965,0.7574922906499806,0.0085995739661041,0.8146462680758061,0.0064218238359532,0.8334481003562767,0.0078045292392308,0.7056974342085566,0.00263650802883,0.7611748151252955,0.7204874105565701,0.0235254865690311,0.7599473069668572,0.7807850064369329,0.0119875437820114,-0.26727
48.21,10.1478,-0.16646,3.8245,2.6753,0.4345836520384166,-0.19126,-0.1839,0.0040939076687194,-0.01526,0.0031844190619176,348.0845,338.7551,16.217524241433285,52.0536,47.8768,19.23902485195502,60.148,2.262744571974486,148.3333,150.3153,3.861431906936177,24.9874,156.7629,14.51,3.88289496852787,0.8408430885302834,0.8432382264004071,0.0154152017497205,0.8204544774108559,0.020549549864377,0.8381784976497709,0.0165083546647066,0.68590760755666,0.0096491573647638,0.7181521511331995,0.6548905721385586,0.041846017276907,0.8408430885302834,0.7638394060058081,0.0133268038159292,-0.3186
44.25,10.1478,-0.16646,1.5585,2.907,0.5227282460687342,-0.21471,-0.20896,0.0025049946297822,-0.01375,0.0017436163841963,455.7715,433.0188,9.259186830633208,30.8493,38.1079,4.788784023289659,44.1499,0.6233884925683728,85.3105,44.516,0.5453103989821723,90.9055,44.5165,90.9061,1.8914004817544456,0.6508787162061016,0.6750097302475973,0.0062560274078896,0.6712972665489056,0.0069748538525054,0.6711775096553995,0.0071035031411299,0.5886350708062633,0.0282908571877105,0.5886350708062633,0.5191161941259244,0.0383551063442057,0.6508787162061016,0.4547169246429747,0.0074964292052734,-0.2338
