plate_id,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,sno,runint,overpotential_V
4098,0.1,0.2,0.0,0.0,0.6,0.1,2,1,0.45432100000000003
4098,0.0,0.3,0.0,0.2,0.5,0.0,3,1,0.45430600000000004
4098,0.2,0.0,0.1,0.0,0.4,0.3,4,1,0.45273199999999997
4098,0.1,0.0,0.4,0.1,0.4,0.0,5,1,0.460305
4098,0.2,0.1,0.2,0.0,0.0,0.5,6,1,0.556269
4098,0.0,0.1,0.1,0.6,0.0,0.2,7,1,0.461232
4098,0.4,0.0,0.3,0.1,0.2,0.0,8,1,0.455355
4098,0.0,0.0,0.7,0.1,0.1,0.1,9,1,0.485155
4098,0.2,0.1,0.0,0.1,0.0,0.6,10,1,0.5022439999999999
4098,0.4,0.0,0.3,0.0,0.2,0.1,11,1,0.470321
4098,0.0,0.6,0.0,0.3,0.0,0.1,12,1,0.55232
4098,0.3,0.4,0.0,0.0,0.1,0.2,13,1,0.555584
4098,0.1,0.3,0.4,0.0,0.2,0.0,14,1,0.48397700000000005
4098,0.1,0.1,0.0,0.5,0.0,0.3,15,1,0.4803
4098,0.0,0.0,0.1,0.7,0.2,0.0,16,1,0.439633
4098,0.1,0.6,0.0,0.0,0.2,0.1,17,1,0.48131999999999997
4098,0.0,0.3,0.1,0.2,0.4,0.0,18,1,0.446313
4098,0.2,0.0,0.6,0.0,0.1,0.1,19,1,0.48731
4098,0.4,0.2,0.0,0.0,0.2,0.2,20,1,0.506817
4098,0.4,0.2,0.0,0.2,0.2,0.0,21,1,0.49249
4098,0.2,0.8,0.0,0.0,0.0,0.0,22,1,0.576955
4098,0.2,0.0,0.2,0.6,0.0,0.0,23,1,0.42983699999999997
4098,0.0,0.2,0.2,0.2,0.0,0.4,24,1,0.517252
4098,0.0,0.0,0.2,0.2,0.4,0.2,25,1,0.47572
4098,0.0,0.0,0.0,0.2,0.8,0.0,26,1,0.450162
4098,0.2,0.6,0.0,0.0,0.2,0.0,27,1,0.491521
4098,0.0,0.0,0.0,0.2,0.6,0.2,28,1,0.456527
4098,0.0,0.2,0.2,0.0,0.6,0.0,29,1,0.46813699999999997
4098,1.0,0.0,0.0,0.0,0.0,0.0,30,1,0.512696
4098,0.2,0.2,0.0,0.0,0.4,0.2,31,1,0.47753900000000005
4098,0.0,0.0,0.4,0.2,0.2,0.2,32,1,0.47901099999999996
4098,0.0,0.6,0.0,0.2,0.2,0.0,33,1,0.5052369999999999
4098,0.0,0.2,0.0,0.6,0.2,0.0,34,1,0.43685100000000004
4098,0.2,0.0,0.0,0.8,0.0,0.0,35,1,0.449692
4098,0.2,0.4,0.0,0.0,0.2,0.2,36,1,0.503037
4098,0.0,0.0,0.2,0.6,0.0,0.2,37,1,0.474233
4098,0.4,0.2,0.2,0.2,0.0,0.0,38,1,0.5064420000000001
4098,0.2,0.4,0.0,0.2,0.2,0.0,39,1,0.507421
4098,0.8,0.0,0.0,0.2,0.0,0.0,40,1,0.545041
4098,0.0,0.0,0.8,0.0,0.2,0.0,41,1,0.482943
4098,0.0,0.2,0.4,0.0,0.2,0.2,42,1,0.49392700000000006
4098,0.0,0.2,0.2,0.6,0.0,0.0,43,1,0.446378
4098,0.0,0.2,0.0,0.8,0.0,0.0,44,1,0.453798
4098,0.0,0.2,0.0,0.0,0.6,0.2,45,1,0.485335
4098,0.0,0.0,0.0,0.5,0.1,0.4,46,1,0.443996
4098,0.3,0.1,0.6,0.0,0.0,0.0,47,1,0.5353359999999999
4098,0.1,0.1,0.4,0.4,0.0,0.0,48,1,0.461628
4098,0.4,0.1,0.0,0.0,0.5,0.0,49,1,0.44269899999999995
4098,0.0,0.0,0.1,0.5,0.3,0.1,50,1,0.42981400000000003
4098,0.1,0.0,0.0,0.7,0.0,0.2,51,1,0.436403
4098,0.2,0.4,0.1,0.3,0.0,0.0,52,1,0.534826
4098,0.0,0.1,0.1,0.6,0.2,0.0,53,1,0.417674
4098,0.3,0.3,0.0,0.0,0.3,0.1,54,1,0.47239
4098,0.0,0.4,0.0,0.1,0.1,0.4,55,1,0.523058
4098,0.2,0.2,0.0,0.0,0.1,0.5,56,1,0.516613
4098,0.4,0.4,0.0,0.0,0.1,0.1,57,1,0.551265
4098,0.0,0.3,0.0,0.0,0.0,0.7,58,1,0.656165
4098,0.2,0.0,0.1,0.0,0.1,0.6,59,1,0.461714
4098,0.3,0.3,0.0,0.0,0.4,0.0,60,1,0.46684200000000003
4098,0.0,0.2,0.3,0.4,0.0,0.1,61,1,0.483749
4098,0.1,0.4,0.0,0.2,0.3,0.0,62,1,0.47009799999999996
4098,0.5,0.0,0.0,0.4,0.0,0.1,63,1,0.509296
4098,0.1,0.0,0.0,0.4,0.1,0.4,64,1,0.424216
4098,0.1,0.3,0.0,0.0,0.5,0.1,66,1,0.466211
4098,0.6,0.1,0.0,0.2,0.1,0.0,67,1,0.47932700000000006
4098,0.0,0.3,0.0,0.6,0.0,0.1,68,1,0.455426
